================================================================================
Engine Log - Started at 2026-03-08 15:01:27
================================================================================

[15:01:27.257] [INFO ] VoxelEngine initialized from Desktop platform with VoxelGames runtime.
[15:01:27.269] [INFO ] [Game:40] Game.A was called!
[15:01:27.270] [INFO ] [Program:38] Creating engine
[15:01:27.271] [INFO ] [TestRuntimeContext:21] TestRuntimeContext created
[15:01:27.272] [INFO ] [Heartbeat:55] Frame rate limit disabled (unlimited FPS)
[15:01:27.272] [INFO ] [Program:45] Starting engine...
[15:01:27.273] [LINE ] ================================================================================
[15:01:27.273] [INFO ] [Engine:28] Starting engine runtime...
[15:01:27.277] [INFO ] [DesktopWindow:26] Creating window: 'Voxel Engine' (800x600)
[15:01:27.358] [INFO ] [DesktopWindow:40] Desktop window created successfully.
[15:01:27.363] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Graphics.GraphicsContext
[15:01:27.366] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Core.Runtime.ModulesManager
[15:01:27.720] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.IO.FileManager
[15:01:27.721] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Core.AssetsManager
[15:01:27.722] [INFO ] [Engine:84] Post init...
[15:01:27.722] [INFO ] [TestRuntimeContext:32] TestRuntimeContext Initialized
[15:01:27.724] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Core.CamerasRegistries
[15:01:27.725] [EXTRAINFO] [ServiceContainer:22] [ServiceContainer] Registering service VoxelEngine.Graphics.Rendering.RenderManager
[15:01:27.726] [INFO ] [LauncherLayer:17] LauncherLayer.Initialize was called!
[15:01:27.727] [INFO ] [GameLoader:19] Loading game from C:\Users\Dmitrist10\Desktop\VoxelGames\Source\Project_08_VE\Source\Resources\Games\Game_01\Main\bin\net11.0\Game_01.dll
[15:01:27.730] [INFO ] [Game:19] Game.OnInitialize was called!
[15:01:27.730] [INFO ] [Game:25] Game.StartMatch was called!
[15:01:27.731] [EXTRAINFO] [UniverseManager:13] A new Universe was created
[15:01:27.744] [EXTRAINFO] [Universe.API:13] A new Scene was created
[15:01:27.744] [INFO ] [ClientHost:26] Scene loaded
[15:01:27.821] [DEBUG] [GameSetup:14] GameSetup.SetUp was called!
[15:01:27.951] [INFO ] [GameLayer:17] GameLayer.Initialize was called!
[15:01:27.952] [EXTRAINFO] [Heartbeat:62] Starting Heartbeat
[15:01:38.054] [INFO ] [ChunksStorage:30] BBB
[15:01:38.055] [INFO ] [ChunksStorage:30] BBB
[15:01:38.055] [INFO ] [ChunksStorage:30] BBB
[15:01:38.056] [INFO ] [ChunksStorage:30] BBB
[15:01:38.056] [INFO ] [ChunksStorage:30] BBB
[15:01:38.056] [INFO ] [ChunksStorage:30] BBB
[15:01:38.057] [INFO ] [ChunksStorage:30] BBB
[15:01:38.057] [INFO ] [ChunksStorage:30] BBB
[15:01:38.058] [INFO ] [ChunksStorage:30] BBB
[15:01:38.058] [INFO ] [ChunksStorage:30] BBB
[15:01:38.059] [INFO ] [ChunksStorage:30] BBB
[15:01:38.059] [INFO ] [ChunksStorage:30] BBB
[15:01:38.059] [INFO ] [ChunksStorage:30] BBB
[15:01:38.060] [INFO ] [ChunksStorage:30] BBB
[15:01:38.060] [INFO ] [ChunksStorage:30] BBB
[15:01:38.674] [INFO ] [ChunksStreamer:84] added
[15:01:38.675] [INFO ] [ChunksStreamer:84] added
[15:01:38.675] [INFO ] [ChunksStreamer:84] added
[15:01:38.675] [INFO ] [ChunksStreamer:84] added
[15:01:38.675] [INFO ] [ChunksStreamer:84] added
[15:01:38.675] [INFO ] [ChunksStreamer:84] added
[15:01:38.676] [INFO ] [ChunksStreamer:84] added
[15:01:38.676] [INFO ] [ChunksStreamer:84] added
[15:01:38.676] [INFO ] [ChunksStreamer:84] added
[15:01:38.676] [INFO ] [ChunksStreamer:84] added
[15:01:38.676] [INFO ] [ChunksStreamer:84] added
[15:01:38.676] [INFO ] [ChunksStreamer:84] added
[15:01:38.677] [INFO ] [ChunksStreamer:84] added
[15:01:38.677] [INFO ] [ChunksStreamer:84] added
[15:01:38.677] [INFO ] [ChunksStreamer:84] added
[15:01:38.677] [INFO ] [ChunksStreamer:84] added
[15:01:38.677] [INFO ] [ChunksStreamer:84] added
[15:01:38.677] [INFO ] [ChunksStreamer:84] added
[15:01:38.677] [INFO ] [ChunksStreamer:84] added
[15:01:38.678] [INFO ] [ChunksStreamer:84] added
[15:01:38.678] [INFO ] [ChunksStreamer:84] added
[15:01:38.678] [INFO ] [ChunksStreamer:84] added
[15:01:38.679] [INFO ] [ChunksStorage:30] BBB
[15:01:38.679] [INFO ] [ChunksStorage:30] BBB
[15:01:38.679] [INFO ] [ChunksStorage:30] BBB
[15:01:38.680] [INFO ] [ChunksStorage:30] BBB
[15:01:38.680] [INFO ] [ChunksStorage:30] BBB
[15:01:38.680] [INFO ] [ChunksStorage:30] BBB
[15:01:38.681] [INFO ] [ChunksStorage:30] BBB
[15:01:38.681] [INFO ] [ChunksStorage:30] BBB
[15:01:38.681] [INFO ] [ChunksStorage:30] BBB
[15:01:38.682] [INFO ] [ChunksStorage:30] BBB
[15:01:38.683] [INFO ] [ChunksStorage:30] BBB
[15:01:38.683] [INFO ] [ChunksStorage:30] BBB
[15:01:38.683] [INFO ] [ChunksStorage:30] BBB
[15:01:38.684] [INFO ] [ChunksStorage:30] BBB
[15:01:38.684] [INFO ] [ChunksStorage:30] BBB
[15:01:38.685] [INFO ] [ChunksStorage:30] BBB
[15:01:38.685] [INFO ] [ChunksStorage:30] BBB
[15:01:38.686] [INFO ] [ChunksStorage:30] BBB
[15:01:38.686] [INFO ] [ChunksStorage:30] BBB
[15:01:38.686] [INFO ] [ChunksStorage:30] BBB
[15:01:38.687] [INFO ] [ChunksStorage:30] BBB
[15:01:38.687] [INFO ] [ChunksStorage:30] BBB
[15:01:42.621] [INFO ] [DesktopWindow:53] Desktop window closing...
[15:01:42.621] [EXTRAINFO] [Heartbeat:111] Heartbeat Stopped
[15:01:42.622] [INFO ] [Engine:38] Application terminated.
[15:01:42.622] [LINE ] ================================================================================
[15:01:42.622] [INFO ] [Program:64] Application Completed.
Exiting with code 0

================================================================================
Engine Log - Ended at 2026-03-08 15:01:42
================================================================================
